run_id,type,name,row,col,value
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,1,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,2,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,3,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,4,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,4,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,4,0.540737729631135
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,4,0.664378667810666
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,4,0.513930743034628
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,4,0.229213885393057
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,4,0.402925798537101
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,4,0.31896284051858
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,4,0.704883647558176
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,4,0.876233561883219
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,4,1.35544932227534
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,4,1.36040931979534
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,4,1.15893942053029
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,4,1.16779941610029
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,4,1.16425941787029
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,4,1.45664927167536
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,4,1.29840935079532
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,4,2.13850893074553
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,4,1.33690933154533
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,4,1.31139934430033
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,1,5,0.409858669424336
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,2,5,0.509824198552223
