run_id,type,name,row,col,value
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,10,3,0.97
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,11,3,0.93
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,12,3,0.97
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,13,3,0.94
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,14,3,0.92
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,15,3,0.79
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,16,3,0.84
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,17,3,0.76
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,18,3,0.84
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,19,3,1.05
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,20,3,1.16
